An Update on Feline Calicivirus,10.17236/SAT00346
Spectrum detection and analysis of the epidemiological characteristics of infectious pathogens in the feline respiratory tract,https://link.springer.com/article/10.1007/s00705-024-06093-5
High-resolution melting analysis for simultaneous detection and discrimination between wild-type and vaccine strains of feline calicivirus,https://www.tandfonline.com/doi/full/10.1080/01652176.2023.2272188
Feline Calicivirus VP2 Is Essential for the Production of Infectious Virions,https://journals.asm.org/doi/10.1128/jvi.79.7.4012-4024.2005
Relevance of feline interferon omega for clinical improvement and reduction of concurrent viral excretion in retrovirus infected cats from a rescue shelter,https://www.sciencedirect.com/science/article/pii/S0034528812003037?via%3Dihub
 Antiviral Effects of Adipose Tissue-Derived Mesenchymal Stem Cells Secretome against Feline Calicivirus and Feline Herpesvirus Type 1 ,https://www.mdpi.com/1999-4915/14/8/1687
FELINE RESPIRATORY VIRUS CARRIERS IN CLINICALLY HEALTHY CATS,https://onlinelibrary.wiley.com/doi/10.1111/j.1751-0813.1981.tb00471.x
"Detection of Protective Antibody Titers against Feline Panleukopenia Virus, Feline Herpesvirus-1, and Feline Calicivirus in Shelter Cats Using a Point-of-Care ELISA",https://journals.sagepub.com/doi/10.1016/j.jfms.2011.07.009
Isolation and molecular characterization of a virulent systemic feline calicivirus isolated in China,https://www.sciencedirect.com/science/article/abs/pii/S1567134818306695?via%3Dihub
Immunisation with a combination of two complementary feline calicivirus strains induces a broad cross-protection against heterologous challenges,https://www.sciencedirect.com/science/article/abs/pii/S0378113504004675?via%3Dihub
Cross-protection among feline caliciviruses,https://journals.asm.org/doi/10.1128/iai.11.5.877-885.1975
Induction of immunity to feline caliciviral disease,https://journals.asm.org/doi/10.1128/iai.11.5.1003-1009.1975
Rapid and simultaneous detection of antibodies against three feline viruses using colloidal gold immunochromatographic assay with smartphone integration,https://link.springer.com/article/10.1007/s00604-025-07373-w
A Nosocomial Outbreak of Feline Calicivirus Associated Virulent Systemic Disease in France,https://journals.sagepub.com/doi/10.1016/j.jfms.2008.12.005
Ability of antibodies to two new caliciviral vaccine strains to neutralise feline calicivirus isolates from the uk,https://bvajournals.onlinelibrary.wiley.com/doi/10.1136/vr.163.12.355
High prevalence of antibodies against feline calicivirus in Australian feral and stray cat (Felis catus) populations,https://onlinelibrary.wiley.com/doi/10.1111/avj.13369
Calicivirus co-infections in herpesvirus pneumonia in kittens,https://www.sciencedirect.com/science/article/abs/pii/S1090023318301060?via%3Dihub
Genetic Evolution and Biological Characteristics of Feline Caliciviruses Isolated from Dogs,https://onlinelibrary.wiley.com/doi/10.1155/2023/1145176
" Prevalence of feline herpesvirus-1, feline calicivirus, Chlamydia felis, and Bordetella bronchiseptica in a population of shelter cats on Prince Edward Island ",https://pubmed.ncbi.nlm.nih.gov/32801452/
" Three-year duration of immunity in cats following vaccination against feline rhinotracheitis virus, feline calicivirus, and feline panleukopenia virus ",https://pubmed.ncbi.nlm.nih.gov/17039444/
Serological Relationships Among Feline Caliciviruses,https://journals.asm.org/doi/10.1128/iai.10.6.1307-1314.1974
2020 AAHA/AAFP Feline Vaccination Guidelines,https://journals.sagepub.com/doi/10.1177/1098612X20941784
 Feline chronic gingivostomatitis: a thorough systematic review of associated factors ,https://pubmed.ncbi.nlm.nih.gov/40231602/
" Identification, Genetic Characterization, and Pathogenicity of Three Feline Herpesvirus Type 1 Isolates from Domestic Cats in China ",https://www.mdpi.com/2306-7381/11/7/285
Sites of persistence of feline calicivirus,https://www.sciencedirect.com/science/article/abs/pii/S0034528818312633?via%3Dihub
Effect of high-dose ciclosporin on the immune response to primary and booster vaccination in immunocompetent cats,https://journals.sagepub.com/doi/10.1177/1098612X14533550
Detection of feline upper respiratory tract disease pathogens using a commercially available real-time PCR test,https://www.sciencedirect.com/science/article/abs/pii/S1090023315003251?via%3Dihub
Comparison of the Sensitivities of Noroviruses and Feline Calicivirus to Chemical Disinfection under Field-Like Conditions,https://journals.asm.org/doi/10.1128/aem.00482-07
Correlation of Genomic Detection of Feline Coronavirus with Various Diagnostic Assays for Feline Infectious Peritonitis,https://journals.sagepub.com/doi/10.1177/104063879801000119
"Clinical, pathological, immunohistochemical and molecular characterization of feline chronic gingivostomatitis",https://journals.sagepub.com/doi/10.1177/1098612X16628578
Nitazoxanide protects cats from feline calicivirus infection and acts synergistically with mizoribine in vitro,https://www.sciencedirect.com/science/article/pii/S0166354220302412?via%3Dihub
"Feline panleukopenia virus, feline herpesvirus-1, and feline calicivirus antibody responses in seronegative specific pathogen-free cats after a single administration of two different modified live FVRCP vaccines",https://journals.sagepub.com/doi/10.1016/j.jfms.2008.05.004
"A feline kidney cell line-based plaque assay for feline calicivirus, a surrogate for Norwalk virus",https://www.sciencedirect.com/science/article/abs/pii/S0166093402002148?via%3Dihub
"Effects of a single dose of an intranasal feline herpesvirus 1, calicivirus, and panleukopenia vaccine on clinical signs and virus shedding after challenge with virulent feline herpesvirus 1",https://journals.sagepub.com/doi/10.1016/j.jfms.2005.12.001
Duration of immunity for canine and feline vaccines: A review,https://www.sciencedirect.com/science/article/abs/pii/S0378113506001489?via%3Dihub
Sequence analysis of feline caliciviruses isolated from the oral cavity of clinically normal domestic cats (Felis catus) in Florida,https://www.sciencedirect.com/science/article/abs/pii/S0034528801904916?via%3Dihub
Serological evidence of exposure of Bornean wild carnivores to feline-related viruses at the domestic animal–wildlife interface,https://onlinelibrary.wiley.com/doi/10.1111/tbed.14549
Apoptosis in Cultured Cells Infected with Feline Calicivirus,https://nyaspubs.onlinelibrary.wiley.com/doi/10.1196/annals.1299.110
Neutralizing epitopes of feline calicivirus,https://link.springer.com/article/10.1007/BF01310763
Characterisation of canine parvovirus strains isolated from cats with feline panleukopenia,https://www.sciencedirect.com/science/article/pii/S0034528810000755?via%3Dihub
Alveolar macrophages are the main target cells in feline calicivirus-associated pneumonia,https://www.sciencedirect.com/science/article/abs/pii/S109002331400183X?via%3Dihub
Isolation of feline herpesvirus-1 and feline calicivirus from healthy cats in Swedish breeding catteries,https://journals.sagepub.com/doi/10.1016/j.jfms.2005.03.002
Genetic and pathogenicity analysis for the two FCV strains isolated from Eastern China,https://link.springer.com/article/10.1007/s11259-023-10167-1
Beyond TFRC: The Pivotal Role of mGluR2 in Feline Calicivirus Entry and Replication ,https://www.mdpi.com/2306-7381/12/10/980
Localized adaptive evolution in VP1 drives antigenic divergence of feline calicivirus despite high sequence conservation,https://link.springer.com/article/10.1186/s13567-026-01778-y
Molecular detection of feline calicivirus in clinical samples: A study comparing its detection by RT-qPCR directly from swabs and after virus isolation,https://www.sciencedirect.com/science/article/abs/pii/S0166093416307121?via%3Dihub
Isolation and phylogenetic analysis of feline calicivirus strains from various region of China,https://link.springer.com/article/10.1186/s44149-022-00047-7
Assembly of feline calicivirus-like particle and its immunogenicity,https://www.sciencedirect.com/science/article/abs/pii/S0378113506004238?via%3Dihub
Detection and strain differentiation of feline calicivirus in conjunctival swabs by RT-PCR of the hypervariable region of the capsid protein gene,https://link.springer.com/article/10.1007/s007050050378
"Survival on uncommon fomites of feline calicivirus, a surrogate of noroviruses",https://www.ajicjournal.org/article/S0196-6553(05)00579-1/fulltext
Chapter 35 - Feline Viral Upper Respiratory Disease,https://www.sciencedirect.com/science/chapter/edited-volume/pii/B9780721687063500396?via%3Dihub
"Survival on uncommon fomites of feline calicivirus, a surrogate of noroviruses",https://www.ajicjournal.org/article/S0196-6553(05)00579-1/fulltext
Chapter 35 - Feline Viral Upper Respiratory Disease,https://www.sciencedirect.com/science/chapter/edited-volume/pii/B9780721687063500396?via%3Dihub
Susceptibility of feline herpesvirus 1 and a feline calicivirus to feline interferon and recombinant human leukocyte interferons,https://journals.asm.org/doi/10.1128/aac.28.5.698
Intranasal immunization with inactivated feline calicivirus particles confers robust protection against homologous virus and suppression against heterologous virus in cats,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/jgv.0.000827
Attempts to serologically classify feline caliciviruses on a national and an international basis,https://journals.asm.org/doi/10.1128/iai.14.4.876-881.1976
"Icariin, Formononetin and Caffeic Acid Phenethyl Ester Inhibit Feline Calicivirus Replication In Vitro",https://link.springer.com/article/10.1007/s00705-021-05107-w
 Virus-specific antiviral treatment for controlling severe and fatal outbreaks of feline calicivirus infection ,https://avmajournals.avma.org/view/journals/ajvr/69/1/ajvr.69.1.23.xml
Genetic characterization and strain differentiation of feline Calicivirus among cat population in Thailand by high resolution melting analysis,https://digiverse.chula.ac.th/Info/item/dc:54456
 Evaluating Neutralizing Antibody Titers by Recombinant Feline Calicivirus with Heterologous Capsid Protein VP1 ,https://www.mdpi.com/2076-2615/16/8/1237
An update on feline viral respiratory disease,https://www.tandfonline.com/doi/abs/10.1080/01652176.1997.9694806
"Prevalence of feline herpesvirus 1, feline calicivirus and Chlamydophila felis in clinically normal cats at a Korean animal shelter ",https://vetsci.org/DOIx.php?id=10.4142/jvs.2008.9.2.207
Establishment of a reverse genetics system for virulent systemic feline calicivirus using circular polymerase extension reaction,https://www.sciencedirect.com/science/article/abs/pii/S0166093424001551?via%3Dihub
"Prevalence of feline herpesvirus 1, feline calicivirus and Chlamydophila felis in clinically normal cats at a Korean animal shelter ",https://vetsci.org/DOIx.php?id=10.4142/jvs.2008.9.2.207
Establishment of a reverse genetics system for virulent systemic feline calicivirus using circular polymerase extension reaction,https://www.sciencedirect.com/science/article/abs/pii/S0166093424001551?via%3Dihub
" The Enhancement of Immunity Gained from Feline Trivalent Vaccines in Mice Using Feline IL-15, IL-23 and Metabolic Regulatory Molecules ",https://www.mdpi.com/2079-7737/14/7/834
Efficacy of Intranasal Administration of a Modified Live Feline Herpesvirus 1 and Feline Calicivirus Vaccine against Disease Caused by Bordetella bronchiseptica after Experimental Challenge,https://academic.oup.com/jvim/article/26/5/1121/8451587?login=false
Isolation of Enzymatically Active Replication Complexes from Feline Calicivirus-Infected Cells,https://journals.asm.org/doi/10.1128/jvi.76.17.8582-8595.2002
Recovery and Altered Neutralization Specificities of Chimeric Viruses Containing Capsid Protein Domain Exchanges from Antigenically Distinct Strains of Feline Calicivirus,https://journals.asm.org/doi/10.1128/jvi.74.3.1079-1084.2000
Post-exposure Treatment of Cats with Mouse-Cat Chimeric Antibodies against Feline Herpesvirus Type 1 and Feline Calicivirus,https://www.jstage.jst.go.jp/article/jvms/64/11/64_11_1017/_article
Prevalence of feline calicivirus in Korean cats determined by an improved real-time RT-PCR assay,https://www.kojvs.org/journal/view.html?doi=10.7853/kjvs.2023.46.2.123
Cessation of feline calicivirus shedding coincident with resolution of chronic gingivostomatitis in a cat,https://onlinelibrary.wiley.com/doi/10.1111/j.1748-5827.2003.tb00140.x
Comparison of the antiviral activity of flavonoids against murine norovirus and feline calicivirus,https://www.sciencedirect.com/science/article/abs/pii/S0956713515301110?via%3Dihub
Feline calicivirus strain differentiation using monoclonal antibody analysis in an enzyme-linked immuno-flow-assay,https://www.sciencedirect.com/science/article/pii/037811359600017X?via%3Dihub
Development of a fluorescence isothermal recombinase polymerase amplification assay for rapid detection of feline calicivirus,https://www.sciencedirect.com/science/article/abs/pii/S0166093425001685?via%3Dihub
The biological effects of five feline IFN-α subtypes,https://www.sciencedirect.com/science/article/abs/pii/S0165242704000492?via%3Dihub
Development of a novel single step reverse genetics system for feline calicivirus,https://www.sciencedirect.com/science/article/abs/pii/S0166093414002602?via%3Dihub
 Management of Chronic Ginggivostomatitis In Local Cats With A History of Recovery From Feline Calici Virus ,https://e-journal.unair.ac.id/JAVEST/article/view/64798
"Patterns of seroprevalence of feline viruses among domestic cats (Felis catus) and Pallas’ cats (Otocolobus manul) in Daursky Reserve, Russia",https://cdnsciencepub.com/doi/10.1139/cjz-2015-0006
Phylogenetic analysis of feline calicivirus capsid gene in infected cats,https://www.jstage.jst.go.jp/article/sbk1951/46/1/46_1_7/_article
 Feline caliciviral disease: experimental immunoprophylaxis ,https://pubmed.ncbi.nlm.nih.gov/1259224/
 Virome of a Feline Outbreak of Diarrhea and Vomiting Includes Bocaviruses and a Novel Chapparvovirus ,https://www.mdpi.com/1999-4915/12/5/506
The Feline Calicivirus Leader of the Capsid Protein Is Associated with Cytopathic Effect,https://journals.asm.org/doi/10.1128/jvi.02480-12
" Cross-species characterization of feline parvovirus and Feline-Origin canine parvovirus Southern China (2023-2024): insights into epidemiology, genetic evolution and recombination ",https://pubmed.ncbi.nlm.nih.gov/41053788/
Development of a cross-priming isothermal amplification assay based on the glycoprotein B gene for instant and rapid detection of feline herpesvirus type 1,https://link.springer.com/article/10.1007/s00705-020-04526-5
Different stabilities to bile among feline calicivirus strains of respiratory and enteric origin,https://www.sciencedirect.com/science/article/pii/037811359290087A?via%3Dihub
 In vitro antiviral effect of germacrone on feline calicivirus,https://link.springer.com/article/10.1007/s00705-016-2825-8
 Feline Calicivirus Prevalence among Cats in Turkey's Kayseri Province ,https://avesis.erciyes.edu.tr/yayin/e405c511-12bf-41b6-b22e-ab6a2d5ab238/feline-calicivirus-prevalence-among-cats-in-turkeys-kayseri-province
Capsid Protein Genetic Analysis and Viral Spread to the Spinal Cord in Cats Experimentally Infected with Feline Calicivirus (FCV),https://link.springer.com/article/10.1007/s11259-005-9140-2
"Genetic and phylogenetic analysis of capsid gene of feline calicivirus in Nanjing, China",https://www.sciencedirect.com/science/article/pii/S1567134822001204?via%3Dihub
A novel replication-deficient feline herpesvirus type 1 vector-based vaccine provides strong immune protection in cats,https://journals.asm.org/doi/10.1128/jvi.02188-25
Effect of modified live or inactivated feline herpesvirus-1 parenteral vaccines on clinical and laboratory findings following viral challenge,https://journals.sagepub.com/doi/10.1177/1098612X16659333
 Long-term immunity in cats vaccinated with an inactivated trivalent vaccine ,https://avmajournals.avma.org/view/journals/ajvr/60/5/ajvr.1999.60.05.652.xml
Feline Herpesvirus 1 and Mycoplasma spp. Conventional PCR Assay Results From Conjunctival Samples From Cats in Shelters With Suspected Acute Ocular Infections,https://www.sciencedirect.com/science/article/abs/pii/S1938973618300382?via%3Dihub
Activation of the TLR2/NF-κB signaling axis by capsid proteinVP1 of feline calicivirus promotes IL-1β expression in vitro,https://www.sciencedirect.com/science/article/abs/pii/S0378113525003281?via%3Dihub
 Antigenic change in feline calicivirus during persistent infection ,https://pubmed.ncbi.nlm.nih.gov/1335833/
Feline immunodeficiency virus (FIV) infection leads to increased incidence of feline odontoclastic resorptive lesions (FORL),https://www.sciencedirect.com/science/article/pii/S0165242798001639?via%3Dihub
Development and validation of a TaqMan real-time reverse transcription-PCR for rapid detection of feline calicivirus,https://link.springer.com/article/10.1007/s00705-009-0337-5
" Comparison of PCR, Nested PCR, and RT-LAMP for Rapid Detection of Feline Calicivirus Infection in Clinical Samples ",
