An Update on Feline Calicivirus,10.17236/SAT00346
Characterization and immunogenic evaluation of feline calicivirus epidemic strains ,https://vetsci.org/DOIx.php?id=10.4142/jvs.24331
Efficacy of passively transferred antibodies in cats with acute viral upper respiratory tract infection,https://www.sciencedirect.com/science/article/abs/pii/S1090023314001853?via%3Dihub
 Description of a Virulent Systemic Feline Calicivirus Infection in a Kitten with Footpads Oedema and Fatal Pneumonia ,https://www.mdpi.com/2076-0817/14/11/1183
Fexaramine as an entry blocker for feline caliciviruses,https://www.sciencedirect.com/science/article/pii/S0166354217306484?via%3Dihub
"Immunogenicity of a new inactivated vaccine against feline panleukopenia virus, calicivirus, and herpesvirus-1 for cats",https://www.kjvr.org/journal/view.php?doi=10.14405/kjvr.20220042
Junctional Adhesion Molecule 1 Is a Functional Receptor for Feline Calicivirus,https://journals.asm.org/doi/10.1128/jvi.80.9.4482-4490.2006
Replication kinetics and cytopathic effect of feline calicivirus in feline corneal epithelial cells,https://onlinelibrary.wiley.com/doi/10.1111/vop.13289
Phylogenetic Analysis of Field Isolates of Feline Calcivirus (FCV) in Japan by Sequencing Part of Its Capsid Gene,https://link.springer.com/article/10.1023/A:1015253621079
Virulent systemic feline calicivirus infection: a case report and first description in Ireland,https://link.springer.com/article/10.1186/s13620-024-00262-3
 An Outbreak of Limping Syndrome Associated with Feline Calicivirus ,https://www.mdpi.com/2076-2615/13/11/1778
In vitro inactivation of feline calicivirus (FCV) by chemical disinfectants: resistance variation among field strains,https://link.springer.com/article/10.1007/s00705-010-0795-9
"Development of a triple NanoPCR method for feline calicivirus, feline panleukopenia syndrome virus, and feline herpesvirus type I virus",https://link.springer.com/article/10.1186/s12917-022-03460-9
"Feline calicivirus infection in cats with virulent systemic disease, Italy",https://www.sciencedirect.com/science/article/abs/pii/S0034528818331801?via%3Dihub
 Detection and Characterization of Feline Calicivirus Associated with Paw and Mouth Disease ,https://www.mdpi.com/2076-2615/13/1/65
 Evaluation of a feline viral rhinotracheitis-feline calicivirus disease vaccine ,https://pubmed.ncbi.nlm.nih.gov/190925/
Effect of primary-stage feline immunodeficiency virus infection on subsequent feline calicivirus vaccination and challenge in cats,https://journals.lww.com/aidsonline/abstract/1991/06000/effect_of_primary_stage_feline_immunodeficiency.16.aspx
"Identification and Pathogenicity Analysis of Feline Calicivirus in Shanghai and Guangdong, China",https://onlinelibrary.wiley.com/doi/10.1155/tbed/8729295
Lethal outbreak of disease associated with feline calicivirus infection in cats,https://bvajournals.onlinelibrary.wiley.com/doi/10.1136/vr.158.16.544
" Prevalence of serum antibody titers against feline panleukopenia virus, feline herpesvirus 1, and feline calicivirus in cats entering a Florida animal shelter ",https://avmajournals.avma.org/view/journals/javma/241/10/javma.241.10.1320.xml
"Prevalence of antibodies to feline parvovirus, calicivirus, herpesvirus, coronavirus, and immunodeficiency virus and of feline leukemia virus antigen and the interrelationship of these viral infections in free-ranging lions in east Africa",https://journals.asm.org/doi/10.1128/cdli.3.5.554-562.1996
"Common virus infections in cats, before and after being placed in shelters, with emphasis on feline enteric coronavirus",https://journals.sagepub.com/doi/10.1016/j.jfms.2003.08.008
Feline calicivirus VP1-based mRNA vaccine protects cats against FCV challenge,https://www.sciencedirect.com/science/article/pii/S1995820X26000477?via%3Dihub
Molecular characterization of a feline calicivirus isolated from tiger and its pathogenesis in cats,https://www.sciencedirect.com/science/article/abs/pii/S0378113516301821?via%3Dihub
